,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle
0,1,1,0.5804147143910329,0.7804666666666666,16.601460218429565,18.381300926208496,0.01,100,False
1,1,2,0.3974572979907195,0.8524166666666667,16.501239776611328,35.01567339897156,0.01,100,False
2,1,3,0.3631489817549785,0.8661166666666666,16.643213748931885,51.777592420578,0.01,100,False
3,1,4,0.34470493788520495,0.8714333333333333,16.89639639854431,68.79134392738342,0.01,100,False
4,1,5,0.3330827410022418,0.8768,16.503135681152344,85.41476011276245,0.01,100,False
5,1,6,0.33086836857100327,0.8790833333333333,16.58204460144043,102.12539386749268,0.01,100,False
6,1,7,0.32647495160500206,0.8798833333333334,16.487762928009033,118.73711919784546,0.01,100,False
7,1,8,0.30935958241422973,0.88625,16.507827043533325,135.3739321231842,0.01,100,False
8,1,9,0.30560986302793025,0.8871333333333333,16.562602281570435,152.0634322166443,0.01,100,False
9,1,10,0.31522253319621085,0.8853833333333333,16.55975914001465,168.7470200061798,0.01,100,False
10,2,1,2.136336843172709,0.18543333333333334,14.76830768585205,23.106005907058716,0.01,10000,False
11,2,2,1.4374043345451355,0.434,14.579062938690186,37.80427098274231,0.01,10000,False
12,2,3,1.0741946995258331,0.58725,14.529868602752686,52.45851016044617,0.01,10000,False
13,2,4,0.9058725833892822,0.6514833333333333,14.510215997695923,67.09647989273071,0.01,10000,False
14,2,5,0.8152065773804983,0.68535,14.465659141540527,81.71203279495239,0.01,10000,False
15,2,6,0.7532989581425985,0.71095,14.477595329284668,96.32440733909607,0.01,10000,False
16,2,7,0.7005930840969086,0.7301166666666666,14.433911561965942,110.88665962219238,0.01,10000,False
17,2,8,0.6652841766675314,0.7437166666666667,14.443933486938477,125.45675134658813,0.01,10000,False
18,2,9,0.6398182312647501,0.7543833333333333,14.504165887832642,140.09141969680786,0.01,10000,False
19,2,10,0.616092453400294,0.7649,14.457631826400757,154.68935656547546,0.01,10000,False
20,3,1,0.84354487473766,0.67475,17.21163558959961,17.34830069541931,0.001,100,False
21,3,2,0.5677987741927306,0.7858333333333334,17.380878925323486,34.85504961013794,0.001,100,False
22,3,3,0.4848897855977217,0.8220833333333334,17.225175142288208,52.19802141189575,0.001,100,False
23,3,4,0.4319494175414244,0.8422166666666666,17.34152340888977,69.66943693161011,0.001,100,False
24,3,5,0.3963571460545063,0.8562,17.291523694992065,87.08494400978088,0.001,100,False
25,3,6,0.3707234076162179,0.8642166666666666,17.511749505996704,104.73757004737854,0.001,100,False
26,3,7,0.35192661645511786,0.87175,17.22971796989441,122.09477066993713,0.001,100,False
27,3,8,0.3360088928292195,0.8769833333333333,17.345686197280884,139.56650018692017,0.001,100,False
28,3,9,0.3229211411625147,0.88175,16.83610248565674,156.52927017211914,0.001,100,False
29,3,10,0.31124734739462534,0.88505,16.59051775932312,173.24896121025085,0.001,100,False
30,4,1,2.2850438753763833,0.14855,14.521219253540039,22.481030702590942,0.001,10000,False
31,4,2,2.202792485555013,0.3202,14.52716064453125,37.14374566078186,0.001,10000,False
32,4,3,1.9986183842023213,0.39631666666666665,14.55081844329834,51.82381987571716,0.001,10000,False
33,4,4,1.6510313351949055,0.5091666666666667,14.550066471099854,66.50280165672302,0.001,10000,False
34,4,5,1.2964385549227397,0.5659666666666666,14.641814708709717,81.27646374702454,0.001,10000,False
35,4,6,1.0658808946609497,0.6088833333333333,14.507306814193726,95.91424083709717,0.001,10000,False
36,4,7,0.9596842229366302,0.6383833333333333,14.553231477737427,110.60482692718506,0.001,10000,False
37,4,8,0.9081328511238098,0.6561,14.571483850479126,125.30923438072205,0.001,10000,False
38,4,9,0.8684532741705576,0.67195,14.588961124420166,140.05142092704773,0.001,10000,False
39,4,10,0.8373762468496958,0.6837166666666666,14.43334412574768,154.62282824516296,0.001,10000,False
